messages
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 에디야 안녕! 오늘 날씨 진짜 좋다!""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.4,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 나 오늘 옷 샀는데 너무 마음에 들어!""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 나 오늘 옷 샀는데 너무 마음에 들어!""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 나 오늘 옷 샀는데 너무 마음에 들어""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 나 오늘 옷 샀는데 너무 마음에 들어""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 운동하고 나니까 기분이 너무 상쾌해!""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.6,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 운동하고 나니까 기분이 너무 상쾌해!""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.2, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 운동하고 나니까 기분이 너무 상쾌해""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.6,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 운동하고 나니까 기분이 너무 상쾌해""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.2, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 에디야, 나 오늘 요리 성공했어! 냄새 좋지?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야, 나 오늘 요리 성공했어! 냄새 좋지?""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 에디야 나 오늘 요리 성공했어 냄새 좋지""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야 나 오늘 요리 성공했어 냄새 좋지""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 와! 드디어 이 레벨 깼다! 아싸!""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.8,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 와! 드디어 이 레벨 깼다! 아싸!""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.4, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 와 드디어 이 레벨 깼다 아싸""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.8,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 와 드디어 이 레벨 깼다 아싸""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.4, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 오늘따라 커피 향이 너무 향긋하다.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.4,\n\""ethogram\"": \""p_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 오늘따라 커피 향이 너무 향긋하다.""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.0, \""ethogram\"": \""p_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 오늘따라 커피 향이 너무 향긋하다""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.4,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 오늘따라 커피 향이 너무 향긋하다""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.0, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 에디야, 너도 기분 좋지? 나도 좋아!""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야, 너도 기분 좋지? 나도 좋아!""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 에디야 너도 기분 좋지 나도 좋아""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.4,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야 너도 기분 좋지 나도 좋아""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.0, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 나 다음 달에 보너스 받는데! 뭐 살까?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.6,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 나 다음 달에 보너스 받는데! 뭐 살까?""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.2, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 나 다음 달에 보너스 받는데 뭐 살까""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 나 다음 달에 보너스 받는데 뭐 살까""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 벚꽃 핀 거 봤어? 진짜 봄이 왔나 봐.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 벚꽃 핀 거 봤어? 진짜 봄이 왔나 봐.""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 벚꽃 핀 거 봤어 진짜 봄이 왔나 봐""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 벚꽃 핀 거 봤어 진짜 봄이 왔나 봐""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 오늘 아침에 눈 뜨자마자 기분이 좋았어.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 오늘 아침에 눈 뜨자마자 기분이 좋았어.""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 오늘 아침에 눈 뜨자마자 기분이 좋았어""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 오늘 아침에 눈 뜨자마자 기분이 좋았어""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 에디야, 나 오늘따라 일이 술술 잘 풀려!""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야, 나 오늘따라 일이 술술 잘 풀려!""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 에디야 나 오늘따라 일이 술술 잘 풀려""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야 나 오늘따라 일이 술술 잘 풀려""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 와! 드디어 주식 올랐다!""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.8,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 와! 드디어 주식 올랐다!""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.4, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 와 드디어 주식 올랐다""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.6,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 와 드디어 주식 올랐다""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.2, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 너랑 같이 있으니까 심심할 틈이 없네.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.4,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 너랑 같이 있으니까 심심할 틈이 없네.""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.0, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 너랑 같이 있으니까 심심할 틈이 없네""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""p_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 너랑 같이 있으니까 심심할 틈이 없네""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""p_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 오늘따라 세상이 다 아름다워 보여.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 오늘따라 세상이 다 아름다워 보여.""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 오늘따라 세상이 다 아름다워 보여""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""p_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 오늘따라 세상이 다 아름다워 보여""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""p_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 에디야, 나 오늘 칭찬 스티커 받았어!""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야, 나 오늘 칭찬 스티커 받았어!""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 에디야 나 오늘 칭찬 스티커 받았어""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야 나 오늘 칭찬 스티커 받았어""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 아싸! 내일 휴무다! 늦잠 자야지!""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.8,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 아싸! 내일 휴무다! 늦잠 자야지!""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.4, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 아싸 내일 휴무다 늦잠 자야지""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.6,\n\""ethogram\"": \""p_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 아싸 내일 휴무다 늦잠 자야지""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.2, \""ethogram\"": \""p_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 기분이다! 오늘 내가 맛있는 거 쏠게!""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 기분이다! 오늘 내가 맛있는 거 쏠게!""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 기분이다 오늘 내가 맛있는 거 쏠게""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 기분이다 오늘 내가 맛있는 거 쏠게""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 에디야, 웃어봐! 치즈~""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.4,\n\""ethogram\"": \""a_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야, 웃어봐! 치즈~""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.0, \""ethogram\"": \""a_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 에디야 웃어봐 치즈""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""p_04\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야 웃어봐 치즈""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 2, \""intensity\"": 0.1, \""ethogram\"": \""p_04\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: HAPPY\ntext: 나 살 빠졌어! 바지가 헐렁해!""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 2,\n\""intensity\"": 0.5,\n\""ethogram\"": \""a_02\""\n}""}]"
