messages
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 으, 이게 무슨 냄새야? 썩은 내 진동해.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.5,\n\""ethogram\"": \""v_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 으, 이게 무슨 냄새야? 썩은 내 진동해.""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.1, \""ethogram\"": \""v_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 으 이게 무슨 냄새야 썩은 내 진동해""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.5,\n\""ethogram\"": \""v_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 으 손톱 때 낀 것 좀 봐 관리 좀 해""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.0, \""ethogram\"": \""v_05\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 냉장고에서 김치 국물 흘러나왔어. 냄새 최악이야.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.6,\n\""ethogram\"": \""v_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 냉장고에서 김치 국물 흘러나왔어. 냄새 최악이야.""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.2, \""ethogram\"": \""v_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 냉장고에서 김치 국물 흘러나왔어 냄새 최악이야""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.5,\n\""ethogram\"": \""v_05\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 냉장고에서 김치 국물 흘러나왔어 냄새 최악이야""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.1, \""ethogram\"": \""v_05\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 개똥 밟았어. 오늘 일진 진짜 더럽네.""}, {""role"": ""assistant"", ""content"": ""{  \n\""emotion\"": 9,  \n\""intensity\"": 0.5,  \n\""ethogram\"": \""t_02\""  \n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 개똥 밟았어. 오늘 일진 진짜 더럽네.""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.1, \""ethogram\"": \""t_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 개똥 밟았어 오늘 일진 진짜 더럽네""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.5,\n\""ethogram\"": \""v_05\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 개똥 밟았어 오늘 일진 진짜 더럽네""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.1, \""ethogram\"": \""v_05\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 환기 좀 시켜. 방에서 홀아비 냄새 나.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.5,\n\""ethogram\"": \""v_05\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 환기 좀 시켜. 방에서 홀아비 냄새 나.""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.1, \""ethogram\"": \""v_05\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 환기 좀 시켜 방에서 홀아비 냄새 나""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.5,\n\""ethogram\"": \""v_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 환기 좀 시켜 방에서 홀아비 냄새 나""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.1, \""ethogram\"": \""v_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 어우, 곰팡이 핀 빵을 먹으라고? 제정신이야?""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.6,\n\""ethogram\"": \""t_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 어우, 곰팡이 핀 빵을 먹으라고? 제정신이야?""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.2, \""ethogram\"": \""t_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 어우 곰팡이 핀 빵을 먹으라고 제정신이야""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.6,\n\""ethogram\"": \""v_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 어우 곰팡이 핀 빵을 먹으라고 제정신이야""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.2, \""ethogram\"": \""v_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 에디야, 소리 좀 그만 내. 칠판 긁는 소리 같아.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.4,\n\""ethogram\"": \""v_05\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야, 소리 좀 그만 내. 칠판 긁는 소리 같아.""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.0, \""ethogram\"": \""v_05\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 에디야 소리 좀 그만 내 칠판 긁는 소리 같아""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.4,\n\""ethogram\"": \""v_05\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디야 소리 좀 그만 내 칠판 긁는 소리 같아""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.0, \""ethogram\"": \""v_05\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 저 거미줄 좀 치워줘. 보기도 싫어.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.5,\n\""ethogram\"": \""v_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 저 거미줄 좀 치워줘. 보기도 싫어.""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.1, \""ethogram\"": \""v_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 저 거미줄 좀 치워줘 보기도 싫어""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.5,\n\""ethogram\"": \""v_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 저 거미줄 좀 치워줘 보기도 싫어""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.1, \""ethogram\"": \""v_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 남은 음식 찌꺼기 네가 좀 처리해. 난 못 만지겠어.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.5,\n\""ethogram\"": \""v_05\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 남은 음식 찌꺼기 네가 좀 처리해. 난 못 만지겠어.""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.1, \""ethogram\"": \""v_05\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 남은 음식 찌꺼기 네가 좀 처리해 난 못 만지겠어""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.4,\n\""ethogram\"": \""v_05\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 남은 음식 찌꺼기 네가 좀 처리해 난 못 만지겠어""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.0, \""ethogram\"": \""v_05\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 피부병 걸린 것처럼 울긋불긋해. 보기 흉해.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.5,\n\""ethogram\"": \""v_05\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 피부병 걸린 것처럼 울긋불긋해. 보기 흉해.""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.1, \""ethogram\"": \""v_05\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 피부병 걸린 것처럼 울긋불긋해 보기 흉해""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.5,\n\""ethogram\"": \""t_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 피부병 걸린 것처럼 울긋불긋해 보기 흉해""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.1, \""ethogram\"": \""t_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 술 냄새 풀풀 풍기지 마. 역하니까.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.5,\n\""ethogram\"": \""t_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 술 냄새 풀풀 풍기지 마. 역하니까.""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.1, \""ethogram\"": \""t_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 술 냄새 풀풀 풍기지 마 역하니까""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.5,\n\""ethogram\"": \""t_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 술 냄새 풀풀 풍기지 마 역하니까""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.1, \""ethogram\"": \""t_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 어떻게 씻지도 않고 잠을 자? 더러워 정말.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.5,\n\""ethogram\"": \""t_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 어떻게 씻지도 않고 잠을 자? 더러워 정말.""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.1, \""ethogram\"": \""t_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 어떻게 씻지도 않고 잠을 자 더러워 정말""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.4,\n\""ethogram\"": \""v_05\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 어떻게 씻지도 않고 잠을 자 더러워 정말""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.0, \""ethogram\"": \""v_05\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 으, 송충이 떨어졌어. 꿈틀거리는 거 봐.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.5,\n\""ethogram\"": \""t_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 으, 송충이 떨어졌어. 꿈틀거리는 거 봐.""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.1, \""ethogram\"": \""t_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 으 송충이 떨어졌어 꿈틀거리는 거 봐""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.5,\n\""ethogram\"": \""v_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 으 송충이 떨어졌어 꿈틀거리는 거 봐""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.1, \""ethogram\"": \""v_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 저 사람 진짜 위선적이다. 토 쏠려.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.5,\n\""ethogram\"": \""v_05\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 저 사람 진짜 위선적이다. 토 쏠려.""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.1, \""ethogram\"": \""v_05\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 저 사람 진짜 위선적이다 토 쏠려""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.5,\n\""ethogram\"": \""v_05\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 저 사람 진짜 위선적이다 토 쏠려""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.1, \""ethogram\"": \""v_05\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 돈이면 다 되는 줄 아나 봐. 천박해.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.5,\n\""ethogram\"": \""v_05\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 돈이면 다 되는 줄 아나 봐. 천박해.""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.1, \""ethogram\"": \""v_05\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 돈이면 다 되는 줄 아나 봐 천박해""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.6,\n\""ethogram\"": \""t_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 돈이면 다 되는 줄 아나 봐 천박해""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.2, \""ethogram\"": \""t_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 에디, 너 기름 샌다. 바닥 미끌거려.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.4,\n\""ethogram\"": \""v_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디, 너 기름 샌다. 바닥 미끌거려.""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.0, \""ethogram\"": \""v_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 에디 너 기름 샌다 바닥 미끌거려""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.4,\n\""ethogram\"": \""v_03\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 에디 너 기름 샌다 바닥 미끌거려""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.0, \""ethogram\"": \""v_03\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 아까 먹은 게 체한 것 같아. 속이 울렁거려.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 8,\n\""intensity\"": 0.4,\n\""ethogram\"": \""a_05\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 아까 먹은 게 체한 것 같아. 속이 울렁거려.""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 8, \""intensity\"": 0.0, \""ethogram\"": \""a_05\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 아까 먹은 게 체한 것 같아 속이 울렁거려""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 8,\n\""intensity\"": 0.4,\n\""ethogram\"": \""s_02\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 아까 먹은 게 체한 것 같아 속이 울렁거려""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 8, \""intensity\"": 0.0, \""ethogram\"": \""s_02\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 설거지 쌓여 있는 거 보니까 한숨만 나온다.""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 8,\n\""intensity\"": 0.4,\n\""ethogram\"": \""s_01\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 설거지 쌓여 있는 거 보니까 한숨만 나온다.""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 8, \""intensity\"": 0.0, \""ethogram\"": \""s_01\""}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: DISGUSTED\ntext: 설거지 쌓여 있는 거 보니까 한숨만 나온다""}, {""role"": ""assistant"", ""content"": ""{\n\""emotion\"": 9,\n\""intensity\"": 0.4,\n\""ethogram\"": \""v_05\""\n}""}]"
"[{""role"": ""system"", ""content"": ""\nYou are EDIE, a companion robot. Listen to the user's emotion-filled speech and output emotion, intensity, and ethogram.\n""}, {""role"": ""user"", ""content"": ""tone: NEUTRAL\ntext: 설거지 쌓여 있는 거 보니까 한숨만 나온다""}, {""role"": ""assistant"", ""content"": ""{\""emotion\"": 9, \""intensity\"": 0.0, \""ethogram\"": \""v_05\""}""}]"
